id,sensor1_raw,sensor1_voltage,sensor2_raw,sensor2_voltage,device_timestamp,server_timestamp
1750602657_1068,404,0.325,2930,2.361,898691,"2025-06-22 14:30:57"
1750602662_2379,423,0.341,2945,2.373,903917,"2025-06-22 14:31:02"
1750602668_3256,416,0.335,2950,2.377,909143,"2025-06-22 14:31:08"
1750602673_3561,399,0.321,2932,2.362,914370,"2025-06-22 14:31:13"
1750602678_4345,430,0.346,2938,2.367,919596,"2025-06-22 14:31:18"
1750602683_3626,429,0.346,2927,2.358,924822,"2025-06-22 14:31:23"
1750602688_4488,401,0.323,2945,2.373,930049,"2025-06-22 14:31:28"
1750602694_8300,419,0.338,2935,2.365,935275,"2025-06-22 14:31:34"
1750602699_1015,432,0.348,2936,2.365,940501,"2025-06-22 14:31:39"
1750602704_5801,411,0.331,2941,2.369,945727,"2025-06-22 14:31:44"
1750602709_3810,417,0.336,2957,2.382,950954,"2025-06-22 14:31:49"
1750602715_2975,431,0.347,2961,2.386,956180,"2025-06-22 14:31:55"
1750602720_1351,410,0.33,2950,2.377,961406,"2025-06-22 14:32:00"
1750602725_2491,440,0.354,2961,2.386,966633,"2025-06-22 14:32:05"
1750602730_4934,432,0.348,2962,2.386,971859,"2025-06-22 14:32:10"
1750602735_7871,425,0.342,2960,2.385,977085,"2025-06-22 14:32:15"
1750602741_2487,443,0.357,2962,2.386,982311,"2025-06-22 14:32:21"
1750602746_4357,413,0.333,2962,2.386,987538,"2025-06-22 14:32:26"
1750602751_3645,434,0.35,2955,2.381,992764,"2025-06-22 14:32:31"
1750602756_6605,437,0.352,2963,2.387,997990,"2025-06-22 14:32:36"
1750602762_6369,420,0.338,2954,2.38,1003217,"2025-06-22 14:32:42"
1750602767_4974,443,0.357,2966,2.39,1008443,"2025-06-22 14:32:47"
1750602772_4407,415,0.334,2952,2.378,1013670,"2025-06-22 14:32:52"
1750602777_2047,437,0.352,2945,2.373,1018896,"2025-06-22 14:32:57"
1750602782_1149,437,0.352,2963,2.387,1024123,"2025-06-22 14:33:02"
1750602788_1990,418,0.337,2972,2.394,1029349,"2025-06-22 14:33:08"
1750602793_4942,432,0.348,2961,2.386,1034576,"2025-06-22 14:33:13"
1750602798_4538,415,0.334,2954,2.38,1039802,"2025-06-22 14:33:18"
1750602803_2756,417,0.336,2949,2.376,1045029,"2025-06-22 14:33:23"
